aid_from,aid_to,step_from,step_to
a11,a12,0,0
a11,a12,1,1
a11,a12,2,2
a11,a12,3,3
a11,a12,4,4
a11,a12,5,5
a11,a12,6,6
a11,a13,0,0
a11,a13,1,1
a11,a13,2,2
a11,a13,3,3
a11,a13,4,4
a11,a13,5,5
a11,a13,6,6
a11,a14,0,1
a11,a14,1,2
a11,a14,2,3
a11,a14,3,4
a11,a14,4,5
a11,a14,5,6
a11,a14,6,7
a11,a15,0,1
a11,a15,1,2
a11,a15,2,3
a11,a15,3,4
a11,a15,4,5
a11,a15,5,6
a11,a15,6,7
a12,a11,0,0
a12,a11,1,1
a12,a11,2,2
a12,a11,3,3
a12,a11,4,4
a12,a11,5,5
a12,a11,6,6
a12,a13,0,0
a12,a13,1,1
a12,a13,2,2
a12,a13,3,3
a12,a13,4,4
a12,a13,5,5
a12,a13,6,6
a12,a14,0,1
a12,a14,1,2
a12,a14,2,3
a12,a14,3,4
a12,a14,4,5
a12,a14,5,6
a12,a14,6,7
a12,a15,0,1
a12,a15,1,2
a12,a15,2,3
a12,a15,3,4
a12,a15,4,5
a12,a15,5,6
a12,a15,6,7
a13,a11,0,0
a13,a11,1,1
a13,a11,2,2
a13,a11,3,3
a13,a11,4,4
a13,a11,5,5
a13,a11,6,6
a13,a12,0,0
a13,a12,1,1
a13,a12,2,2
a13,a12,3,3
a13,a12,4,4
a13,a12,5,5
a13,a12,6,6
a13,a14,0,1
a13,a14,1,2
a13,a14,2,3
a13,a14,3,4
a13,a14,4,5
a13,a14,5,6
a13,a14,6,7
a13,a15,0,1
a13,a15,1,2
a13,a15,2,3
a13,a15,3,4
a13,a15,4,5
a13,a15,5,6
a13,a15,6,7
a14,a11,0,-1
a14,a11,1,0
a14,a11,2,1
a14,a11,3,2
a14,a11,4,3
a14,a11,5,4
a14,a11,6,5
a14,a11,7,6
a14,a12,0,-1
a14,a12,1,0
a14,a12,2,1
a14,a12,3,2
a14,a12,4,3
a14,a12,5,4
a14,a12,6,5
a14,a12,7,6
a14,a13,0,-1
a14,a13,1,0
a14,a13,2,1
a14,a13,3,2
a14,a13,4,3
a14,a13,5,4
a14,a13,6,5
a14,a13,7,6
a14,a15,0,0
a14,a15,1,1
a14,a15,2,2
a14,a15,3,3
a14,a15,4,4
a14,a15,5,5
a14,a15,6,6
a14,a15,7,7
a15,a11,0,-1
a15,a11,1,0
a15,a11,2,1
a15,a11,3,2
a15,a11,4,3
a15,a11,5,4
a15,a11,6,5
a15,a11,7,6
a15,a12,0,-1
a15,a12,1,0
a15,a12,2,1
a15,a12,3,2
a15,a12,4,3
a15,a12,5,4
a15,a12,6,5
a15,a12,7,6
a15,a13,0,-1
a15,a13,1,0
a15,a13,2,1
a15,a13,3,2
a15,a13,4,3
a15,a13,5,4
a15,a13,6,5
a15,a13,7,6
a15,a14,0,0
a15,a14,1,1
a15,a14,2,2
a15,a14,3,3
a15,a14,4,4
a15,a14,5,5
a15,a14,6,6
a15,a14,7,7
