aid_from,aid_to,step_from,step_to
a31,a32,0,0
a31,a32,1,1
a31,a32,2,2
a31,a32,3,3
a31,a32,4,-1
a31,a32,5,4
a31,a32,6,5
a31,a32,7,6
a31,a32,8,7
a31,a32,9,8
a31,a32,10,9
a31,a32,11,-1
a31,a32,12,-1
a31,a32,13,-1
a31,a32,14,-1
a31,a32,15,-1
a31,a32,16,10
a31,a32,17,11
a31,a32,18,12
a31,a33,0,0
a31,a33,1,1
a31,a33,2,2
a31,a33,3,3
a31,a33,4,-1
a31,a33,5,4
a31,a33,6,5
a31,a33,7,6
a31,a33,8,7
a31,a33,9,-1
a31,a33,10,-1
a31,a33,11,-1
a31,a33,12,-1
a31,a33,13,-1
a31,a33,14,-1
a31,a33,15,-1
a31,a33,16,-1
a31,a33,17,-1
a31,a33,18,8
a31,a34,0,-1
a31,a34,1,2
a31,a34,2,3
a31,a34,3,4
a31,a34,4,-1
a31,a34,5,5
a31,a34,6,7
a31,a34,7,8
a31,a34,8,9
a31,a34,9,-1
a31,a34,10,-1
a31,a34,11,-1
a31,a34,12,-1
a31,a34,13,-1
a31,a34,14,-1
a31,a34,15,-1
a31,a34,16,10
a31,a34,17,11
a31,a34,18,14
a31,a35,0,4
a31,a35,1,5
a31,a35,2,6
a31,a35,3,7
a31,a35,4,-1
a31,a35,5,8
a31,a35,6,10
a31,a35,7,11
a31,a35,8,13
a31,a35,9,-1
a31,a35,10,-1
a31,a35,11,-1
a31,a35,12,-1
a31,a35,13,-1
a31,a35,14,-1
a31,a35,15,-1
a31,a35,16,-1
a31,a35,17,-1
a31,a35,18,14
a32,a31,0,0
a32,a31,1,1
a32,a31,2,2
a32,a31,3,3
a32,a31,4,4
a32,a31,5,6
a32,a31,6,7
a32,a31,7,8
a32,a31,8,9
a32,a31,9,10
a32,a31,10,16
a32,a31,11,17
a32,a31,12,18
a32,a33,0,0
a32,a33,1,1
a32,a33,2,2
a32,a33,3,3
a32,a33,4,4
a32,a33,5,5
a32,a33,6,6
a32,a33,7,7
a32,a33,8,-1
a32,a33,9,-1
a32,a33,10,-1
a32,a33,11,-1
a32,a33,12,8
a32,a34,0,-1
a32,a34,1,2
a32,a34,2,3
a32,a34,3,4
a32,a34,4,5
a32,a34,5,7
a32,a34,6,8
a32,a34,7,9
a32,a34,8,-1
a32,a34,9,-1
a32,a34,10,10
a32,a34,11,11
a32,a34,12,14
a32,a35,0,4
a32,a35,1,5
a32,a35,2,6
a32,a35,3,7
a32,a35,4,8
a32,a35,5,10
a32,a35,6,11
a32,a35,7,13
a32,a35,8,-1
a32,a35,9,-1
a32,a35,10,-1
a32,a35,11,-1
a32,a35,12,14
a33,a31,0,0
a33,a31,1,1
a33,a31,2,2
a33,a31,3,3
a33,a31,4,5
a33,a31,5,6
a33,a31,6,7
a33,a31,7,8
a33,a31,8,18
a33,a32,0,0
a33,a32,1,1
a33,a32,2,2
a33,a32,3,3
a33,a32,4,4
a33,a32,5,5
a33,a32,6,6
a33,a32,7,7
a33,a32,8,12
a33,a34,0,-1
a33,a34,1,2
a33,a34,2,3
a33,a34,3,4
a33,a34,4,5
a33,a34,5,7
a33,a34,6,8
a33,a34,7,9
a33,a34,8,14
a33,a35,0,2
a33,a35,1,3
a33,a35,2,6
a33,a35,3,7
a33,a35,4,8
a33,a35,5,10
a33,a35,6,11
a33,a35,7,13
a33,a35,8,14
a34,a31,0,-1
a34,a31,1,-1
a34,a31,2,1
a34,a31,3,2
a34,a31,4,3
a34,a31,5,5
a34,a31,6,-1
a34,a31,7,6
a34,a31,8,7
a34,a31,9,8
a34,a31,10,16
a34,a31,11,17
a34,a31,12,-1
a34,a31,13,-1
a34,a31,14,18
a34,a32,0,-1
a34,a32,1,-1
a34,a32,2,1
a34,a32,3,2
a34,a32,4,3
a34,a32,5,4
a34,a32,6,-1
a34,a32,7,5
a34,a32,8,6
a34,a32,9,7
a34,a32,10,10
a34,a32,11,11
a34,a32,12,-1
a34,a32,13,-1
a34,a32,14,12
a34,a33,0,-1
a34,a33,1,-1
a34,a33,2,1
a34,a33,3,2
a34,a33,4,3
a34,a33,5,4
a34,a33,6,-1
a34,a33,7,5
a34,a33,8,6
a34,a33,9,7
a34,a33,10,-1
a34,a33,11,-1
a34,a33,12,-1
a34,a33,13,-1
a34,a33,14,8
a34,a35,0,-1
a34,a35,1,-1
a34,a35,2,5
a34,a35,3,6
a34,a35,4,7
a34,a35,5,8
a34,a35,6,-1
a34,a35,7,10
a34,a35,8,11
a34,a35,9,13
a34,a35,10,-1
a34,a35,11,-1
a34,a35,12,-1
a34,a35,13,-1
a34,a35,14,14
a35,a31,0,-1
a35,a31,1,-1
a35,a31,2,-1
a35,a31,3,-1
a35,a31,4,0
a35,a31,5,1
a35,a31,6,2
a35,a31,7,3
a35,a31,8,5
a35,a31,9,-1
a35,a31,10,6
a35,a31,11,7
a35,a31,12,-1
a35,a31,13,8
a35,a31,14,18
a35,a32,0,-1
a35,a32,1,-1
a35,a32,2,-1
a35,a32,3,-1
a35,a32,4,0
a35,a32,5,1
