aid_from,aid_to,step_from,step_to
a31,a32,0,-1
a31,a32,1,-1
a31,a32,2,0
a31,a32,3,1
a31,a32,4,2
a31,a32,5,3
a31,a32,6,4
a31,a32,7,5
a31,a32,8,6
a31,a33,0,0
a31,a33,1,1
a31,a33,2,2
a31,a33,3,3
a31,a33,4,4
a31,a33,5,5
a31,a33,6,-1
a31,a33,7,-1
a31,a33,8,6
a31,a34,0,2
a31,a34,1,3
a31,a34,2,4
a31,a34,3,5
a31,a34,4,6
a31,a34,5,7
a31,a34,6,8
a31,a34,7,9
a31,a34,8,12
a31,a35,0,2
a31,a35,1,3
a31,a35,2,4
a31,a35,3,5
a31,a35,4,6
a31,a35,5,7
a31,a35,6,-1
a31,a35,7,-1
a31,a35,8,8
a32,a31,0,2
a32,a31,1,3
a32,a31,2,4
a32,a31,3,5
a32,a31,4,6
a32,a31,5,7
a32,a31,6,8
a32,a33,0,2
a32,a33,1,3
a32,a33,2,4
a32,a33,3,5
a32,a33,4,-1
a32,a33,5,-1
a32,a33,6,6
a32,a34,0,4
a32,a34,1,5
a32,a34,2,6
a32,a34,3,7
a32,a34,4,8
a32,a34,5,9
a32,a34,6,12
a32,a35,0,4
a32,a35,1,5
a32,a35,2,6
a32,a35,3,7
a32,a35,4,-1
a32,a35,5,-1
a32,a35,6,8
a33,a31,0,0
a33,a31,1,1
a33,a31,2,2
a33,a31,3,3
a33,a31,4,4
a33,a31,5,5
a33,a31,6,8
a33,a32,0,-1
a33,a32,1,-1
a33,a32,2,0
a33,a32,3,1
a33,a32,4,2
a33,a32,5,3
a33,a32,6,6
a33,a34,0,2
a33,a34,1,3
a33,a34,2,4
a33,a34,3,5
a33,a34,4,6
a33,a34,5,7
a33,a34,6,12
a33,a35,0,2
a33,a35,1,3
a33,a35,2,4
a33,a35,3,5
a33,a35,4,6
a33,a35,5,7
a33,a35,6,8
a34,a31,0,-1
a34,a31,1,-1
a34,a31,2,0
a34,a31,3,1
a34,a31,4,2
a34,a31,5,3
a34,a31,6,4
a34,a31,7,5
a34,a31,8,6
a34,a31,9,7
a34,a31,10,-1
a34,a31,11,-1
a34,a31,12,8
a34,a32,0,-1
a34,a32,1,-1
a34,a32,2,-1
a34,a32,3,-1
a34,a32,4,0
a34,a32,5,1
a34,a32,6,2
a34,a32,7,3
a34,a32,8,4
a34,a32,9,5
a34,a32,10,-1
a34,a32,11,-1
a34,a32,12,6
a34,a33,0,-1
a34,a33,1,-1
a34,a33,2,0
a34,a33,3,1
a34,a33,4,2
a34,a33,5,3
a34,a33,6,4
a34,a33,7,5
a34,a33,8,-1
a34,a33,9,-1
a34,a33,10,-1
a34,a33,11,-1
a34,a33,12,6
a34,a35,0,0
a34,a35,1,1
a34,a35,2,2
a34,a35,3,3
a34,a35,4,4
a34,a35,5,5
a34,a35,6,6
a34,a35,7,7
a34,a35,8,-1
a34,a35,9,-1
a34,a35,10,-1
a34,a35,11,-1
a34,a35,12,8
a35,a31,0,-1
a35,a31,1,-1
a35,a31,2,0
a35,a31,3,1
a35,a31,4,2
a35,a31,5,3
a35,a31,6,4
a35,a31,7,5
a35,a31,8,8
a35,a32,0,-1
a35,a32,1,-1
a35,a32,2,-1
a35,a32,3,-1
a35,a32,4,0
a35,a32,5,1
a35,a32,6,2
a35,a32,7,3
a35,a32,8,6
a35,a33,0,-1
a35,a33,1,-1
a35,a33,2,0
a35,a33,3,1
a35,a33,4,2
a35,a33,5,3
a35,a33,6,4
a35,a33,7,5
a35,a33,8,6
a35,a34,0,0
a35,a34,1,1
a35,a34,2,2
a35,a34,3,3
a35,a34,4,4
a35,a34,5,5
a35,a34,6,6
a35,a34,7,7
a35,a34,8,12
