aid_from,aid_to,step_from,step_to
a41,a42,0,0
a41,a42,1,1
a41,a42,2,2
a41,a42,3,3
a41,a42,4,4
a41,a42,5,5
a41,a42,6,6
a41,a42,7,7
a41,a42,8,8
a41,a42,9,9
a41,a43,0,0
a41,a43,1,1
a41,a43,2,2
a41,a43,3,3
a41,a43,4,4
a41,a43,5,5
a41,a43,6,6
a41,a43,7,7
a41,a43,8,8
a41,a43,9,9
a41,a44,0,0
a41,a44,1,1
a41,a44,2,2
a41,a44,3,3
a41,a44,4,4
a41,a44,5,5
a41,a44,6,6
a41,a44,7,7
a41,a44,8,8
a41,a44,9,9
a41,a45,0,0
a41,a45,1,1
a41,a45,2,2
a41,a45,3,3
a41,a45,4,4
a41,a45,5,5
a41,a45,6,6
a41,a45,7,7
a41,a45,8,8
a41,a45,9,9
a42,a41,0,0
a42,a41,1,1
a42,a41,2,2
a42,a41,3,3
a42,a41,4,4
a42,a41,5,5
a42,a41,6,6
a42,a41,7,7
a42,a41,8,8
a42,a41,9,9
a42,a43,0,0
a42,a43,1,1
a42,a43,2,2
a42,a43,3,3
a42,a43,4,4
a42,a43,5,5
a42,a43,6,6
a42,a43,7,7
a42,a43,8,8
a42,a43,9,9
a42,a44,0,0
a42,a44,1,1
a42,a44,2,2
a42,a44,3,3
a42,a44,4,4
a42,a44,5,5
a42,a44,6,6
a42,a44,7,7
a42,a44,8,8
a42,a44,9,9
a42,a45,0,0
a42,a45,1,1
a42,a45,2,2
a42,a45,3,3
a42,a45,4,4
a42,a45,5,5
a42,a45,6,6
a42,a45,7,7
a42,a45,8,8
a42,a45,9,9
a43,a41,0,0
a43,a41,1,1
a43,a41,2,2
a43,a41,3,3
a43,a41,4,4
a43,a41,5,5
a43,a41,6,6
a43,a41,7,7
a43,a41,8,8
a43,a41,9,9
a43,a42,0,0
a43,a42,1,1
a43,a42,2,2
a43,a42,3,3
a43,a42,4,4
a43,a42,5,5
a43,a42,6,6
a43,a42,7,7
a43,a42,8,8
a43,a42,9,9
a43,a44,0,0
a43,a44,1,1
a43,a44,2,2
a43,a44,3,3
a43,a44,4,4
a43,a44,5,5
a43,a44,6,6
a43,a44,7,7
a43,a44,8,8
a43,a44,9,9
a43,a45,0,0
a43,a45,1,1
a43,a45,2,2
a43,a45,3,3
a43,a45,4,4
a43,a45,5,5
a43,a45,6,6
a43,a45,7,7
a43,a45,8,8
a43,a45,9,9
a44,a41,0,0
a44,a41,1,1
a44,a41,2,2
a44,a41,3,3
a44,a41,4,4
a44,a41,5,5
a44,a41,6,6
a44,a41,7,7
a44,a41,8,8
a44,a41,9,9
a44,a42,0,0
a44,a42,1,1
a44,a42,2,2
a44,a42,3,3
a44,a42,4,4
a44,a42,5,5
a44,a42,6,6
a44,a42,7,7
a44,a42,8,8
a44,a42,9,9
a44,a43,0,0
a44,a43,1,1
a44,a43,2,2
a44,a43,3,3
a44,a43,4,4
a44,a43,5,5
a44,a43,6,6
a44,a43,7,7
a44,a43,8,8
a44,a43,9,9
a44,a45,0,0
a44,a45,1,1
a44,a45,2,2
a44,a45,3,3
a44,a45,4,4
a44,a45,5,5
a44,a45,6,6
a44,a45,7,7
a44,a45,8,8
a44,a45,9,9
a45,a41,0,0
a45,a41,1,1
a45,a41,2,2
a45,a41,3,3
a45,a41,4,4
a45,a41,5,5
a45,a41,6,6
a45,a41,7,7
a45,a41,8,8
a45,a41,9,9
a45,a42,0,0
a45,a42,1,1
a45,a42,2,2
a45,a42,3,3
a45,a42,4,4
a45,a42,5,5
a45,a42,6,6
a45,a42,7,7
a45,a42,8,8
a45,a42,9,9
a45,a43,0,0
a45,a43,1,1
a45,a43,2,2
a45,a43,3,3
a45,a43,4,4
a45,a43,5,5
a45,a43,6,6
a45,a43,7,7
a45,a43,8,8
a45,a43,9,9
a45,a44,0,0
a45,a44,1,1
a45,a44,2,2
a45,a44,3,3
a45,a44,4,4
a45,a44,5,5
a45,a44,6,6
a45,a44,7,7
a45,a44,8,8
a45,a44,9,9

