aid_from,aid_to,step_from,step_to
a41,a42,0,0
a41,a42,1,1
a41,a42,2,2
a41,a42,3,3
a41,a42,4,4
a41,a43,0,0
a41,a43,1,1
a41,a43,2,2
a41,a43,3,3
a41,a43,4,4
a41,a44,0,0
a41,a44,1,1
a41,a44,2,2
a41,a44,3,3
a41,a44,4,4
a41,a45,0,0
a41,a45,1,1
a41,a45,2,2
a41,a45,3,3
a41,a45,4,4
a42,a41,0,0
a42,a41,1,1
a42,a41,2,2
a42,a41,3,3
a42,a41,4,4
a42,a43,0,0
a42,a43,1,1
a42,a43,2,2
a42,a43,3,3
a42,a43,4,4
a42,a44,0,0
a42,a44,1,1
a42,a44,2,2
a42,a44,3,3
a42,a44,4,4
a42,a45,0,0
a42,a45,1,1
a42,a45,2,2
a42,a45,3,3
a42,a45,4,4
a43,a41,0,0
a43,a41,1,1
a43,a41,2,2
a43,a41,3,3
a43,a41,4,4
a43,a42,0,0
a43,a42,1,1
a43,a42,2,2
a43,a42,3,3
a43,a42,4,4
a43,a44,0,0
a43,a44,1,1
a43,a44,2,2
a43,a44,3,3
a43,a44,4,4
a43,a45,0,0
a43,a45,1,1
a43,a45,2,2
a43,a45,3,3
a43,a45,4,4
a44,a41,0,0
a44,a41,1,1
a44,a41,2,2
a44,a41,3,3
a44,a41,4,4
a44,a42,0,0
a44,a42,1,1
a44,a42,2,2
a44,a42,3,3
a44,a42,4,4
a44,a43,0,0
a44,a43,1,1
a44,a43,2,2
a44,a43,3,3
a44,a43,4,4
a44,a45,0,0
a44,a45,1,1
a44,a45,2,2
a44,a45,3,3
a44,a45,4,4
a45,a41,0,0
a45,a41,1,1
a45,a41,2,2
a45,a41,3,3
a45,a41,4,4
a45,a42,0,0
a45,a42,1,1
a45,a42,2,2
a45,a42,3,3
a45,a42,4,4
a45,a43,0,0
a45,a43,1,1
a45,a43,2,2
a45,a43,3,3
a45,a43,4,4
a45,a44,0,0
a45,a44,1,1
a45,a44,2,2
a45,a44,3,3
a45,a44,4,4
